epoch,F1,REC,PREC,ACC,BAC,GMEAN,SPEC
1,0.53125,0.43478260869565216,0.6827309236947792,0.8502246630054917,0.6928875822634588,0.643020236286902,0.9509925558312655
2,0.5895316804407713,0.5473145780051151,0.6388059701492538,0.8512231652521218,0.7361262716328305,0.71149984689913,0.924937965260546
3,0.5125628140703518,0.391304347826087,0.7427184466019418,0.854717923115327,0.6792129679577085,0.6151738634693649,0.96712158808933
4,0.5674846625766872,0.4731457800511509,0.7088122605363985,0.8592111832251622,0.7129996890330196,0.6714452017158958,0.9528535980148883
5,0.554364471669219,0.4629156010230179,0.6908396946564885,0.854717923115327,0.7063337310326008,0.6630648185336575,0.9497518610421837
6,0.583941605839416,0.5115089514066496,0.6802721088435374,0.8577134298552171,0.7265981481599004,0.6940327847799684,0.9416873449131513
7,0.6222707423580786,0.7289002557544757,0.5428571428571428,0.8272591113330005,0.7900084405323247,0.7876414957742335,0.8511166253101737
8,0.6075619295958279,0.5959079283887468,0.6196808510638298,0.8497254118821768,0.753599125484696,0.7369159574128824,0.9112903225806451
9,0.5360501567398119,0.4373401534526854,0.6923076923076923,0.8522216674987518,0.6950968757337869,0.6455394169016906,0.9528535980148883
10,0.6025974025974026,0.5933503836317136,0.6121372031662269,0.8472291562656016,0.7510796583170976,0.7343310759085105,0.9088089330024814
11,0.5381026438569206,0.4424552429667519,0.6865079365079365,0.8517224163754369,0.6967238993990087,0.6486691316456294,0.9509925558312655
12,0.555052790346908,0.47058823529411764,0.6764705882352942,0.8527209186220669,0.7079988322872574,0.6670071625968352,0.9454094292803971
13,0.5548780487804879,0.46547314578005117,0.6867924528301886,0.854218671992012,0.7069921560165764,0.6644595370399438,0.9485111662531017
14,0.526984126984127,0.42455242966751916,0.694560669456067,0.8512231652521218,0.6896335349330152,0.6366525112928003,0.9547146401985112
15,0.6144278606965174,0.6317135549872123,0.5980629539951574,0.8452321517723415,0.7643679437467079,0.7527689994748821,0.8970223325062034
16,0.5820256776034237,0.5217391304347826,0.6580645161290323,0.853719420868697,0.7279911533067214,0.6981627477559108,0.93424317617866
17,0.5335463258785943,0.42710997442455245,0.7106382978723405,0.854218671992012,0.6924631757978842,0.6396037275978115,0.9578163771712159
18,0.5446009389671361,0.44501278772378516,0.7016129032258065,0.854717923115327,0.6995535402638777,0.6516012285071661,0.9540942928039702
19,0.6036269430051814,0.5959079283887468,0.6115485564304461,0.8472291562656016,0.7520482569983437,0.7356607768774505,0.9081885856079405
20,0.4726027397260274,0.35294117647058826,0.7150259067357513,0.8462306540189716,0.6594110348854182,0.583865685592031,0.9658808933002482
