epoch,F1,REC,PREC,ACC,BAC,GMEAN,SPEC
1,0.5708289611752361,0.6956521739130435,0.48398576512455516,0.7958062905641538,0.757875714748085,0.7553170393754338,0.8200992555831266
2,0.5827464788732394,0.8465473145780051,0.4442953020134228,0.7633549675486769,0.7948617466190273,0.7931795498517399,0.7431761786600496
3,0.5953259532595326,0.618925831202046,0.5734597156398105,0.835746380429356,0.7536316500923381,0.7414951155456091,0.8883374689826302
4,0.5879396984924623,0.8976982097186701,0.43711083437110837,0.7543684473290065,0.8086505936930819,0.8037327321693035,0.7196029776674938
5,0.6097297297297297,0.7212276214833759,0.5280898876404494,0.8197703444832751,0.7824500390295291,0.7800512029137037,0.8436724565756824
6,0.5873873873873874,0.8337595907928389,0.4534075104311544,0.7713429855217174,0.7949815323691242,0.794035200096852,0.7562034739454094
7,0.5923961096374889,0.8567774936061381,0.4527027027027027,0.7698452321517724,0.8027683994085282,0.8009495120373592,0.7487593052109182
8,0.6042065009560229,0.8081841432225064,0.48244274809160304,0.7933100349475787,0.7989431882365634,0.7988897438198543,0.7897022332506204
9,0.5671406003159558,0.9181585677749361,0.4102857142857143,0.7264103844233649,0.7990296560959047,0.7900991670182353,0.6799007444168734
10,0.6157303370786517,0.7007672634271099,0.5490981963927856,0.8292561158262606,0.7805945498276989,0.776502064109701,0.8604218362282878
11,0.6116207951070336,0.7672634271099744,0.5084745762711864,0.8097853220169745,0.7936813413465504,0.7932415555233151,0.8200992555831266
12,0.5994291151284491,0.8056265984654731,0.4772727272727273,0.7898152770843735,0.7958033736744239,0.7957427434832813,0.7859801488833746
13,0.6046931407942239,0.8567774936061381,0.46722454672245467,0.7813280079880179,0.809902394445749,0.8085447505287887,0.7630272952853598
14,0.6112702960840497,0.8184143222506394,0.4878048780487805,0.7968047928107839,0.8049887988424413,0.804876836281808,0.7915632754342432
15,0.5856950067476383,0.5549872122762148,0.62,0.8467299051422865,0.7362405044011346,0.7135806362386214,0.9174937965260546
16,0.6212952799121844,0.7237851662404092,0.5442307692307692,0.8277583624563155,0.7883814168671028,0.7857306045117207,0.8529776674937966
17,0.5971731448763251,0.8644501278772379,0.45614035087719296,0.7723414877683474,0.8072250639386189,0.8051941355399507,0.75
18,0.6325486182190379,0.7902813299232737,0.5273037542662116,0.8207688467299051,0.8092225508177162,0.8090008448097933,0.8281637717121588
19,0.5758313057583131,0.907928388746803,0.42161520190023755,0.7388916625062406,0.802909603802682,0.7960118634087309,0.6978908188585607
20,0.5836837678721615,0.887468030690537,0.4348370927318296,0.7528706939590614,0.8038456778762859,0.7994843187644112,0.7202233250620348
